Marque,Libellé modèle,Modèle,Groupe,Description Commerciale,Energie,Carrosserie,Cylindrée,Gamme,Puissance fiscale,Puissance maximale,Puissance nominale électrique,Poids à vide,Rapport poids-puissance,Type de boite,Nombre rapports,Autonomie elec Min,Autonomie elec Max,Autonomie elec urbain Min,Autonomie elec urbain Max,Essai CO2 type 1,Essai HC,Essai Nox,Essai HCNox,Essai particules,Masse OM Min,Masse OM Max,Bonus-Malus,Barème Bonus-Malus,Prix véhicule,Conso basse vitesse Avg,Conso moyenne vitesse Avg,Conso haute vitesse Avg,Conso T-haute vitesse Avg,Conso vitesse mixte Avg,Conso elec Avg,CO2 basse vitesse Avg,CO2 moyenne vitesse Avg,CO2 haute vitesse Avg,CO2 T-haute vitesse Avg,CO2 vitesse mixte Avg
SEAT,ATECA,ATECA,VGF,ATECA TSI (110ch) BVM6,ESSENCE,TS TERRAINS/CHEMINS,999,MOYENNE SUPERIEURE,6,81.0,-1.0,1284,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.216,0.022,0.035,-1.0,0.0,1359,1359,Malus,650.0,30622,7.7565,6.3295,5.8385,7.151,6.6594999999999995,-1.0,176.03500000000003,143.58499999999998,132.42,162.26999999999998,151.095
B.M.W.,M4,M4,AUTRES,M4 Competition M xDrive Cabriolet,ESSENCE,CABRIOLET,2993,LUXE,41,375.0,-1.0,1920,0.2,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.177,0.008,0.018,-1.0,0.0,1995,1995,Malus,40000.0,115550,15.457,10.117,8.602,9.36,10.0925,-1.0,351.635,230.07,195.57,212.825,229.5
SEAT,ATECA,ATECA,VGF,ATECA TDI (150ch) DSG7,GAZOLE,TS TERRAINS/CHEMINS,1968,MOYENNE SUPERIEURE,8,110.0,-1.0,1456,0.08,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.036,0.012,0.027,0.037,0.0,1531,1531,Malus,280.0,40423,6.6240000000000006,4.798500000000001,4.287,5.2595,5.0475,-1.0,173.715,125.82,112.4,137.915,132.35
B.M.W.,SERIE 2,220,AUTRES,220d Gran Coupé,GAZOLE,BERLINE,1995,MOYENNE INFERIEURE,10,140.0,-1.0,1505,0.09,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.19,-1.0,0.016,0.069,0.0,1580,1580,Malus,190.0,47413,6.5595,5.1875,4.6845,5.1915,5.2170000000000005,-1.0,171.73000000000002,135.73000000000002,122.53999999999999,135.85,136.5
B.M.W.,SERIE 1,118,AUTRES,118d,GAZOLE,BERLINE,1995,MOYENNE INFERIEURE,8,110.0,-1.0,1430,0.08,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.171,-1.0,0.013,0.062,0.0,1505,1505,Malus,125.0,40410,6.3919999999999995,5.033,4.5985,5.17,5.128500000000001,-1.0,167.35000000000002,131.695,120.29499999999999,135.28,134.2
PORSCHE,MACAN GTS,MACAN,VGF,MACAN GTS II,ESSENCE,TS TERRAINS/CHEMINS,2894,SUPERIEURE,33,324.0,-1.0,1960,0.17,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.38,0.014,0.015,-1.0,0.0,2035,2035,Malus,40000.0,93699,15.45,10.850000000000001,9.899999999999999,11.399999999999999,11.399999999999999,-1.0,351.0,246.0,225.0,259.0,258.0
MERCEDES,CLASSE T,CLASSE T,AUTRES,T 180d (116ch) Tourer,GAZOLE,COMBISPACE,1461,INFERIEURE,6,85.0,-1.0,1603,0.05,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.149,0.054,0.03,0.084,0.0,1678,1678,Malus,898.0,35632,6.385,5.615,5.13,6.83,6.0,-1.0,167.165,147.05,134.305,178.975,157.125
B.M.W.,SERIE X,X2,AUTRES,X2 sDrive18d,GAZOLE,TS TERRAINS/CHEMINS,1995,MOYENNE SUPERIEURE,8,110.0,-1.0,1510,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.192,-1.0,0.024,0.085,0.0,1585,1585,Malus,170.0,43167,6.202,4.9505,4.736000000000001,5.4415,5.2255,-1.0,162.33499999999998,129.49,123.87,142.375,136.7
SKODA,FABIA,FABIA,VGF,NouvellFABIA 1.0 TSI (95ch) BVM5 Monte-Carlo,ESSENCE,BERLINE,999,MOYENNE INFERIEURE,5,70.0,-1.0,1076,0.07,MECANIQUE,5,-1.0,-1.0,-1.0,-1.0,0.193,0.021,0.042,-1.0,0.0,1151,1151,Neutre 0,-1.0,22347,6.802,5.1945,4.6765,5.6625,5.415,-1.0,154.415,117.84,106.045,128.485,122.85
B.M.W.,SERIE 1,118,AUTRES,118d,GAZOLE,BERLINE,1995,MOYENNE INFERIEURE,8,110.0,-1.0,1430,0.08,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.171,-1.0,0.013,0.062,0.0,1505,1505,Malus,210.0,40410,6.3919999999999995,5.033,4.5985,5.17,5.128500000000001,-1.0,167.35000000000002,131.695,120.29499999999999,135.28,134.2
