Marque,Libellé modèle,Modèle,Groupe,Description Commerciale,Energie,Carrosserie,Cylindrée,Gamme,Puissance fiscale,Puissance maximale,Puissance nominale électrique,Poids à vide,Rapport poids-puissance,Type de boite,Nombre rapports,Autonomie elec Min,Autonomie elec Max,Autonomie elec urbain Min,Autonomie elec urbain Max,Essai CO2 type 1,Essai HC,Essai Nox,Essai HCNox,Essai particules,Masse OM Min,Masse OM Max,Bonus-Malus,Barème Bonus-Malus,Prix véhicule,Conso basse vitesse Avg,Conso moyenne vitesse Avg,Conso haute vitesse Avg,Conso T-haute vitesse Avg,Conso vitesse mixte Avg,Conso elec Avg,CO2 basse vitesse Avg,CO2 moyenne vitesse Avg,CO2 haute vitesse Avg,CO2 T-haute vitesse Avg,CO2 vitesse mixte Avg
B.M.W.,SERIE 1,118,AUTRES,118d,GAZOLE,BERLINE,1995,MOYENNE INFERIEURE,8,110.0,-1.0,1430,0.08,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.171,-1.0,0.013,0.062,0.0,1505,1505,Malus,50.0,40410,6.3919999999999995,5.033,4.5985,5.17,5.128500000000001,-1.0,167.35000000000002,131.695,120.29499999999999,135.28,134.2
MERCEDES,CLASSE C,C 220,AUTRES,C 220d 4MATIC All-Terrain,GAZ+ELEC HNR,BREAK,1993,SUPERIEURE,11,147.0,10.0,1765,0.08,AUTOMATIQUE,9,-1.0,-1.0,-1.0,-1.0,0.055,-1.0,0.006,0.014,0.0,1840,1840,Malus,12311.0,58850,6.88,5.009,4.253,4.8595,4.9725,-1.0,180.62,131.47,111.60499999999999,127.545,130.5
HYUNDAI,TUCSON,TUCSON,HYUNDAI,TUCSON T-GDi (150ch) iBVM Hybrid 48V Intuitive,ESS+ELEC HNR,TS TERRAINS/CHEMINS,1598,MOYENNE SUPERIEURE,8,110.1,7.94,1463,0.08,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.193,0.023,0.027,-1.0,0.0,1538,1538,Malus,11921.0,31850,8.1065,6.439,5.6675,6.9864999999999995,6.6175,-1.0,184.165,146.225,128.665,158.685,150.28500000000003
SKODA,KAMIQ,KAMIQ,VGF,Kamiq Ambition 1.0 TSI (110ch) BVM6. châssis classique. classe A,ESSENCE,TS TERRAINS/CHEMINS,999,MOYENNE INFERIEURE,6,81.0,-1.0,1165,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.167,0.02,0.037,-1.0,0.0,1240,1240,Neutre 0,-1.0,28070,6.808999999999999,5.0915,4.496,5.4735,5.2725,-1.0,154.615,115.535,101.98500000000001,124.24,119.64999999999999
FORD,TOURNEO,TOURNEO CONNECT,FORD,TOURNEO CONNECT 1.5 EcoBlue (120ch) BVM6,GAZOLE,COMBISPACE,1499,INFERIEURE,6,88.0,-1.0,1735,0.05,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.045,0.005,0.03,0.034,0.0,1810,1979,Malus,2773.0,29293,6.3420000000000005,5.6685,5.1835,6.558,5.9245,-1.0,166.23000000000002,148.565,135.845,171.89,155.275
B.M.W.,SERIE X,X1,AUTRES,X1 xDrive23d,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,1995,MOYENNE SUPERIEURE,11,145.0,10.5,1690,0.09,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.037,-1.0,0.03,0.036,0.001,1765,1765,Malus,11907.0,49617,7.0335,4.7375,4.3195,5.2485,5.0954999999999995,-1.0,184.585,124.30000000000001,113.33,137.71,133.7
B.M.W.,SERIE 2,218,AUTRES,218d Gran Coupé,GAZOLE,BERLINE,1995,MOYENNE INFERIEURE,8,110.0,-1.0,1470,0.07,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.178,-1.0,0.013,0.066,0.0,1545,1545,Neutre 0,-1.0,43563,6.6625,5.0395,4.5675,4.919499999999999,5.068,-1.0,174.44,131.87,119.48,128.72,132.6
VOLKSWAGEN,GOLF,GOLF,VGF,GOLF GTI CS 2.0 TSI (300ch) DSG7 ess ar Mbr ss+r 19'' DCC ssp spt a lmt EU6AP FIA gnI,ESSENCE,BERLINE,1984,MOYENNE INFERIEURE,19,221.0,-1.0,1388,0.16,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.285,0.036,0.022,-1.0,0.0,1463,1463,Malus,3784.0,50570,11.1005,7.1915,6.0835,6.715,7.201499999999999,-1.0,252.01999999999998,163.07,137.865,152.24,163.3
PEUGEOT,RIFTER,RIFTER,AUTRES,RIFTER BlueHdi (130ch) BVM6,GAZOLE,COMBISPACE,1499,INFERIEURE,7,96.0,-1.0,1540,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.053,-1.0,0.049,0.053,0.0,1615,1615,Malus,330.0,31433,5.423500000000001,5.019500000000001,4.761,6.2255,5.4215,-1.0,142.24,131.64499999999998,124.85,163.275,142.185
RENAULT,SCENIC,SCENIC,RENAULT,Grand SCENIC (140ch),ESSENCE,MONOSPACE COMPACT,1332,MOYENNE INFERIEURE,7,103.0,-1.0,1528,0.07,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.261,0.011,0.018,-1.0,0.001,1603,1603,Malus,1074.0,38700,8.496500000000001,6.513,5.7295,7.000500000000001,6.709,-1.0,192.305,147.31,129.54500000000002,158.37,151.75
MERCEDES,CLASSE E,E 200,AUTRES,E 220 d,GAZ+ELEC HNR,BERLINE,1993,LUXE,11,147.0,10.0,1755,0.08,AUTOMATIQUE,9,-1.0,-1.0,-1.0,-1.0,0.054,-1.0,0.006,0.013,0.0,1830,1830,Malus,12201.0,58383,6.803,5.197,4.39,4.906000000000001,5.059,-1.0,178.2,136.11,114.97,128.495,132.5
B.M.W.,SERIE 5,520,AUTRES,520d Touring,GAZ+ELEC HNR,BREAK,1995,LUXE,10,140.0,0.0,1780,0.08,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.096,-1.0,0.02,0.046,0.0,1855,1855,Malus,12458.0,61063,6.577999999999999,5.4285,4.8075,5.4975000000000005,5.4145,-1.0,172.195,142.065,125.78,143.87,141.7
MINI,MINI,MINI,B.M.W.,MINI Cooper S Hatch 3P (F56),ESSENCE,BERLINE,1998,INFERIEURE,9,131.0,-1.0,1225,0.11,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.188,0.016,0.009,-1.0,0.001,1300,1300,Malus,210.0,36800,8.636500000000002,6.0805,5.257,6.2509999999999994,6.2275,-1.0,196.345,138.16,119.4,142.04,141.5
MERCEDES,CLASSE S,S 400,AUTRES,S 400 d 4MATIC,GAZOLE,BERLINE,2925,LUXE,21,243.0,-1.0,1985,0.12,AUTOMATIQUE,9,-1.0,-1.0,-1.0,-1.0,0.036,-1.0,0.034,0.057,0.0,2060,2060,Malus,10854.0,121725,10.8425,7.5024999999999995,5.7305,5.958,6.8535,-1.0,284.045,196.515,150.07999999999998,156.03,179.5
DS,DS 3 CROSSBACK,3 CROSSBACK,STELLANTIS,DS3 CROSSBACK PureTech (100ch) S&S,ESSENCE,TS TERRAINS/CHEMINS,1199,INFERIEURE,5,74.0,-1.0,1170,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.63,0.023,0.031,-1.0,0.002,1245,1245,Neutre 0,-1.0,29550,6.6530000000000005,5.4765,5.04,6.303,5.7915,-1.0,150.04000000000002,123.325,113.425,142.09,130.49
VOLKSWAGEN,TIGUAN,TIGUAN,VGF,TIGUAN 1.5 TSI (150ch) DSG7 ess4 ss+r opt PAC 17/18'' rlt fbl résist EU6AP FIA gnI,ESSENCE,TS TERRAINS/CHEMINS,1498,MOYENNE SUPERIEURE,8,110.0,-1.0,1461,0.08,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.234,0.024,0.024,-1.0,0.0,1536,1536,Malus,2370.0,45809,8.8625,6.999499999999999,6.057,7.2725,7.054,-1.0,201.45999999999998,159.01,137.55,165.235,160.26
DS,DS 7 CROSSBACK,7 CROSSBACK,STELLANTIS,DS7 CROSSBACK PureTech (180ch) BVA8,ESSENCE,TS TERRAINS/CHEMINS,1598,MOYENNE SUPERIEURE,10,133.0,-1.0,1428,0.09,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.59,0.023,0.031,-1.0,0.0,1503,1503,Malus,1386.0,49207,8.722,6.922499999999999,6.109,7.271,7.035,-1.0,197.29000000000002,156.39999999999998,137.91500000000002,164.315,158.95499999999998
KIA,SPORTAGE,SPORTAGE,HYUNDAI,SPORTAGE 1.6T-GDi (180ch) / Electrique (60ch) BVA6 4x2 Système hybride (230ch),ESS+ELEC HNR,TS TERRAINS/CHEMINS,1598,MOYENNE SUPERIEURE,10,132.4,14.7,1574,0.08,AUTOMATIQUE,6,-1.0,-1.0,-1.0,-1.0,0.129,0.011,0.028,-1.0,0.0,1649,1649,Malus,11904.0,42390,5.893000000000001,4.826,4.89,6.8965,5.7219999999999995,-1.0,133.9,109.6,111.065,156.72,130.0
RENAULT,TALISMAN,TALISMAN,RENAULT,TALISMAN (158ch),ESSENCE,BERLINE,1332,SUPERIEURE,8,116.0,-1.0,1422,0.08,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.301,0.013,0.02,-1.0,0.0,1497,1497,Malus,400.0,42500,8.4095,6.3575,5.513999999999999,6.407,6.3885000000000005,-1.0,190.375,143.8,124.65,144.915,144.5
HONDA,CIVIC,CIVIC,AUTRES,CIVIC (126ch),ESSENCE,BERLINE,988,MOYENNE INFERIEURE,6,93.0,-1.0,1277,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.41,0.024,0.012,-1.0,0.0,1352,1433,Malus,310.0,27500,7.5504999999999995,5.928,5.1635,6.216,6.010999999999999,-1.0,170.785,133.93,116.57,140.475,135.81
B.M.W.,SERIE X,X2,AUTRES,X2 xDrive18d,GAZOLE,TS TERRAINS/CHEMINS,1995,MOYENNE SUPERIEURE,8,110.0,-1.0,1605,0.07,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.071,-1.0,0.021,0.056,0.0,1680,1680,Malus,983.0,47717,7.015,5.777,5.149,5.7535,5.74,-1.0,183.85,151.375,134.9,150.75,150.4
B.M.W.,SERIE X,X5,AUTRES,X5 xDrive40d,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,2993,LUXE,22,250.0,0.0,2200,0.11,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.096,-1.0,0.025,0.038,0.001,2275,2275,Malus,16714.0,84217,10.2405,6.797499999999999,6.0255,7.2545,7.18,-1.0,268.51,178.17000000000002,157.9,190.16,188.2
B.M.W.,SERIE 4,420,AUTRES,420d xDrive Coupe,GAZ+ELEC HNR,COUPE,1995,MOYENNE SUPERIEURE,10,140.0,0.0,1670,0.08,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.087,-1.0,0.017,0.045,0.0,1745,1745,Malus,11904.0,58050,6.663,5.2165,4.6875,5.2965,5.2745,-1.0,174.64499999999998,136.675,122.795,138.78,138.2
VOLKSWAGEN,KOMBI,KOMBI,VGF,TRANSPORTER 6.1 vitré L2 CARAVELLE Confortline Long / Carat Long 2.0 TDI (150ch) DSG7 4MOTION,GAZOLE,MINIBUS,1968,MOYENNE SUPERIEURE,8,110.0,-1.0,2028,0.05,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.021,-1.0,0.033,0.046,0.0,2103,2103,Malus,36177.0,60740,9.7375,7.962999999999999,6.8895,8.2545,7.9719999999999995,-1.0,255.43,208.86,180.69,216.52,209.1
SKODA,FABIA,FABIA,VGF,FABIA 1.0 TSI (110ch) DSG7 Monte-Carlo,ESSENCE,BERLINE,999,MOYENNE INFERIEURE,6,81.0,-1.0,1119,0.07,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.191,0.025,0.037,-1.0,0.0,1194,1194,Malus,75.0,23997,7.5285,5.578,4.906499999999999,5.6715,5.664,-1.0,171.135,126.69,111.4,128.815,128.65
VOLKSWAGEN,TIGUAN,TIGUAN,VGF,TIGUAN 2.0 TDI (150ch) DSG7 ess1 ss+r opt PAC 17/18'' rlt fbl résist EU6AP FIA gnI,GAZOLE,TS TERRAINS/CHEMINS,1968,MOYENNE SUPERIEURE,8,110.0,-1.0,1556,0.07,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.026,-1.0,0.03,0.039,0.0,1631,1631,Malus,360.0,48739,7.431,5.3985,4.709,5.572,5.518000000000001,-1.0,194.70999999999998,141.425,123.36000000000001,145.975,144.565
SKODA,SCALA,SCALA,VGF,Scala Active 1.0 TSI (95ch) BVM5 famille A,ESSENCE,BERLINE,999,MOYENNE INFERIEURE,5,70.0,-1.0,1121,0.06,MECANIQUE,5,-1.0,-1.0,-1.0,-1.0,0.206,0.025,0.037,-1.0,0.0,1196,1196,Neutre 0,-1.0,23495,6.746,5.2620000000000005,4.7845,5.7835,5.4975000000000005,-1.0,153.045,119.28999999999999,108.44,131.16,124.65
FORD,TOURNEO,TOURNEO CONNECT,FORD,TOURNEO CONNECT 1.5 EcoBlue (120ch) BVA8,GAZOLE,COMBISPACE,1499,INFERIEURE,6,88.0,-1.0,1744,0.05,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.04,0.005,0.022,0.027,0.0,1819,1988,Malus,4999.0,30993,7.112,5.9865,5.4535,7.000500000000001,6.332,-1.0,186.415,156.89999999999998,142.94,183.5,165.965
MINI,MINI,COUNTRYMAN,B.M.W.,MINI Cooper D ALL4 Countryman (F60),GAZOLE,TS TERRAINS/CHEMINS,1995,INFERIEURE,8,110.0,-1.0,1570,0.07,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.076,-1.0,0.02,0.054,0.0,1645,1645,Malus,280.0,41733,6.747,5.446,5.067,5.6545000000000005,5.5760000000000005,-1.0,176.815,142.685,132.73000000000002,148.155,146.10000000000002
OPEL,INSIGNIA SPORTS TOURER,INSIGNIA,STELLANTIS,INSIGNIA SPORTS TOURER (122ch),GAZOLE,BREAK,1496,MOYENNE SUPERIEURE,6,90.0,-1.0,1519,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.053,-1.0,0.017,0.036,0.0,1594,1594,Malus,100.0,39250,6.128,5.027,4.4155,5.2989999999999995,5.0815,-1.0,160.535,131.665,115.625,138.805,133.10000000000002
DACIA,JOGGER,JOGGER,RENAULT,JOGGER (110ch),ESSENCE,BREAK,999,INFERIEURE,6,81.0,-1.0,1176,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.234,0.024,0.023,-1.0,0.0,1251,1308,Malus,50.0,19350,6.5585,5.273,4.9325,6.4719999999999995,5.763999999999999,-1.0,148.175,119.04499999999999,111.33,146.21,130.175
RENAULT,AUSTRAL,AUSTRAL,RENAULT,AUSTRAL (158ch+0Kw),ESS+ELEC HNR,TS TERRAINS/CHEMINS,1332,MOYENNE SUPERIEURE,8,116.0,0.0,1464,0.08,VARIATION CONTINUE,0,-1.0,-1.0,-1.0,-1.0,0.278,0.024,0.019,-1.0,0.0,1539,1539,Malus,11915.0,38800,7.7044999999999995,5.9825,5.4545,6.9830000000000005,6.404,-1.0,174.18,135.145,123.185,157.83499999999998,144.70499999999998
SKODA,KAMIQ,KAMIQ,VGF,Kamiq Ambition 1.0 TSI (110ch) DSG7. châssis classique. classe A,ESSENCE,TS TERRAINS/CHEMINS,999,MOYENNE INFERIEURE,6,81.0,-1.0,1185,0.07,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.153,0.023,0.043,-1.0,0.0,1260,1260,Malus,190.0,29620,7.3665,5.9695,5.367,6.330500000000001,6.0975,-1.0,167.315,135.535,121.815,143.745,138.45
VOLKSWAGEN,ARTEON,ARTEON,VGF,ARTEON SB 2.0 TDI (200ch) DSG7 bat mot ss+r 19/20'' Airstop DCC EU6AP FIB,GAZOLE,BREAK,1968,MOYENNE SUPERIEURE,11,147.0,-1.0,1576,0.09,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.027,-1.0,0.032,0.043,0.0,1651,1651,Malus,898.0,60040,7.8345,5.6995000000000005,4.9815000000000005,5.861,5.8195,-1.0,205.275,149.3,130.48,153.54,152.45499999999998
MERCEDES,CLASSE GLE,GLE 300,AUTRES,GLE 300 d 4MATIC,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,1993,LUXE,16,200.0,10.0,2205,0.09,AUTOMATIQUE,9,-1.0,-1.0,-1.0,-1.0,0.059,-1.0,0.01,0.022,0.0,2280,2280,Malus,16765.0,86350,9.1465,7.247,6.2620000000000005,7.656499999999999,7.3415,-1.0,239.85500000000002,190.01999999999998,164.175,200.755,192.5
FIAT,TIPO,TIPO,STELLANTIS,TIPO 5P 1.0 Firefly (100ch),ESSENCE,BERLINE,999,MOYENNE INFERIEURE,5,73.3,-1.0,1240,0.06,MECANIQUE,5,-1.0,-1.0,-1.0,-1.0,0.749,0.034,0.019,-1.0,0.0,1315,1315,Neutre 0,-1.0,21690,7.2940000000000005,5.567,4.923500000000001,5.933,5.7285,-1.0,165.36,125.905,111.22,134.27,129.6
FIAT,TIPO,TIPO,STELLANTIS,TIPO SW 1.0 Firefly (100ch),ESSENCE,BERLINE,999,MOYENNE INFERIEURE,5,73.3,-1.0,1270,0.06,MECANIQUE,5,-1.0,-1.0,-1.0,-1.0,0.749,0.034,0.019,-1.0,0.0,1345,1345,Malus,50.0,21690,7.2940000000000005,5.567,4.923500000000001,5.933,5.7285,-1.0,165.36,125.905,111.22,134.27,129.6
B.M.W.,SERIE X,X3,AUTRES,X3 xDrive18d,GAZ+ELEC HNR,TS TERRAINS/CHEMINS,1995,SUPERIEURE,8,110.0,0.0,1810,0.06,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.159,-1.0,0.023,0.061,0.0,1885,1885,Malus,12777.0,55100,6.8605,5.7485,5.3469999999999995,6.5375,6.053,-1.0,179.7,150.51,139.975,171.23,158.5
FORD,ECOSPORT,ECOSPORT,FORD,ECOSPORT 1.0 EcoBoost (125ch) S&S BVM6,ESSENCE,TS TERRAINS/CHEMINS,998,INFERIEURE,6,92.0,-1.0,1284,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.271,0.02,0.016,-1.0,0.0,1359,1422,Malus,983.0,25900,7.0009999999999994,6.0145,5.6825,7.3065,6.4015,-1.0,159.615,137.055,129.47,166.595,148.2
B.M.W.,SERIE X,X2,AUTRES,X2 sDrive18d,GAZOLE,TS TERRAINS/CHEMINS,1995,MOYENNE SUPERIEURE,8,110.0,-1.0,1540,0.07,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.177,-1.0,0.016,0.065,0.0,1615,1615,Malus,818.0,45667,6.5715,5.3580000000000005,4.897,5.5055,5.4295,-1.0,172.065,140.21499999999997,128.115,144.08499999999998,142.1
DACIA,JOGGER,JOGGER,RENAULT,JOGGER (101ch),ESS+G.P.L.,BREAK,999,INFERIEURE,5,67.0,-1.0,1252,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.438,0.049,0.021,-1.0,-1.0,1327,1366,Neutre 0,-1.0,20100,7.4285,5.592,5.257,6.6274999999999995,6.101,-1.0,167.53,125.925,118.34,149.39499999999998,137.45
DACIA,JOGGER,JOGGER,RENAULT,JOGGER (101ch),ESS+G.P.L.,BREAK,999,INFERIEURE,5,74.0,-1.0,1252,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.417,0.027,0.025,-1.0,-1.0,1327,1366,Neutre 0,-1.0,20100,9.3775,7.1585,6.823,8.432,7.8025,-1.0,146.235,111.535,106.28999999999999,131.445,120.25
MERCEDES,CLASSE V,V 300,AUTRES,V 300 d (237ch) BlueEFFICIENCY long,GAZOLE,MONOSPACE,1950,SUPERIEURE,14,174.0,-1.0,2067,0.08,AUTOMATIQUE,9,-1.0,-1.0,-1.0,-1.0,0.116,-1.0,0.022,0.037,0.0,2142,2142,Malus,24591.0,81025,9.955,7.6965,6.686999999999999,7.994,7.792,-1.0,260.695,201.51,175.05,209.3,204.0
DS,DS 7 CROSSBACK,7 CROSSBACK,STELLANTIS,DS7 CROSSBACK PureTech (180ch) BVA8,ESSENCE,TS TERRAINS/CHEMINS,1598,MOYENNE SUPERIEURE,10,133.0,-1.0,1428,0.09,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.59,0.023,0.031,-1.0,0.0,1503,1503,Malus,2370.0,49207,8.722,6.922499999999999,6.109,7.271,7.035,-1.0,197.29000000000002,156.39999999999998,137.91500000000002,164.315,158.95499999999998
B.M.W.,SERIE 1,116,AUTRES,116i,ESSENCE,BERLINE,1499,MOYENNE INFERIEURE,6,80.0,-1.0,1340,0.06,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.072,0.014,0.008,-1.0,0.0,1415,1415,Malus,280.0,36260,8.183,6.0195,5.4559999999999995,6.5440000000000005,6.3195,-1.0,186.96,137.485,124.6,149.47,144.35000000000002
B.M.W.,SERIE 5,520,AUTRES,520d xDrive Touring,GAZ+ELEC HNR,BREAK,1995,LUXE,10,140.0,0.0,1840,0.08,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.1,-1.0,0.019,0.048,0.0,1915,1915,Malus,13068.0,63713,6.985,5.9265,5.0045,5.641,5.682,-1.0,182.845,155.10500000000002,130.94,147.625,148.7
B.M.W.,M3,M3,AUTRES,M3 Competition M xDrive,ESSENCE,BERLINE,2993,SUPERIEURE,41,375.0,-1.0,1780,0.21,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.177,0.008,0.018,-1.0,0.0,1855,1855,Malus,40000.0,102000,15.457,10.117,8.602,9.36,10.0925,-1.0,351.635,230.07,195.57,212.825,229.5
B.M.W.,SERIE X,X2,AUTRES,X2 sDrive20i,ESSENCE,TS TERRAINS/CHEMINS,1998,MOYENNE SUPERIEURE,9,131.0,-1.0,1470,0.09,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.159,0.021,0.013,-1.0,0.0,1545,1545,Malus,1074.0,46817,9.4555,6.795,5.7995,7.029999999999999,6.9254999999999995,-1.0,215.39,154.70999999999998,132.02,160.075,157.7
FORD,TOURNEO,TOURNEO CONNECT,FORD,TOURNEO CONNECT 1.5 EcoBlue (120ch) BVM6,GAZOLE,COMBISPACE,1499,INFERIEURE,6,88.0,-1.0,1699,0.05,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.045,0.005,0.03,0.034,0.0,1774,1943,Malus,2504.0,29293,6.3420000000000005,5.6685,5.1835,6.558,5.9245,-1.0,166.23000000000002,148.565,135.845,171.89,155.275
RENAULT,CLIO,CLIO,RENAULT,CLIO (67ch),ESSENCE,BERLINE,999,INFERIEURE,4,49.0,-1.0,1028,0.05,MECANIQUE,5,-1.0,-1.0,-1.0,-1.0,0.222,0.021,0.026,-1.0,-1.0,1103,1103,Neutre 0,-1.0,18550,6.694,5.218,4.882,6.202999999999999,5.660500000000001,-1.0,151.445,117.97,110.345,140.31,128.0
B.M.W.,SERIE 4,420,AUTRES,420d xDrive Gran Coupe,GAZ+ELEC HNR,BERLINE,1995,MOYENNE SUPERIEURE,10,140.0,0.0,1760,0.08,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.087,-1.0,0.019,0.045,0.0,1835,1835,Malus,12270.0,58783,6.843999999999999,5.4785,4.7684999999999995,5.465,5.437,-1.0,179.385,143.55,124.91499999999999,143.185,142.45
PEUGEOT,RIFTER,RIFTER,AUTRES,RIFTER PureTech (130ch) BVA8,ESSENCE,COMBISPACE,1199,INFERIEURE,7,96.0,-1.0,1505,0.06,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.588,0.024,0.035,-1.0,0.001,1580,1580,Malus,2370.0,28850,8.2275,6.757,6.019500000000001,7.7255,7.069,-1.0,185.635,152.31,135.59,174.265,159.385
VOLKSWAGEN,TIGUAN,TIGUAN,VGF,TIGUAN R-Line 2.0 TDI (200ch) DSG7 4M ess5 ss+r opt PAC 19/20'' rlt fbl résist EU6AP FIA gnI,GAZOLE,TS TERRAINS/CHEMINS,1968,MOYENNE SUPERIEURE,11,147.0,-1.0,1630,0.09,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.019,-1.0,0.033,0.042,0.0,1705,1705,Malus,4543.0,57595,8.59,6.1545000000000005,5.42,6.4435,6.3545,-1.0,225.35500000000002,161.435,142.16500000000002,169.03,166.7
B.M.W.,SERIE 4,420,AUTRES,420d xDrive Gran Coupe,GAZ+ELEC HNR,BERLINE,1995,MOYENNE SUPERIEURE,10,140.0,0.0,1760,0.08,AUTOMATIQUE,8,-1.0,-1.0,-1.0,-1.0,0.087,-1.0,0.019,0.045,0.0,1835,1835,Malus,12272.0,58783,6.843999999999999,5.4785,4.7684999999999995,5.465,5.437,-1.0,179.385,143.55,124.91499999999999,143.185,142.45
MERCEDES,CLASSE GLE,GLE 63 AMG,AUTRES,AMG GLE 63 S 4MATIC+ Coupe,ESS+ELEC HNR,TS TERRAINS/CHEMINS,3982,LUXE,55,450.0,10.4,2370,0.19,AUTOMATIQUE,9,-1.0,-1.0,-1.0,-1.0,0.422,0.021,0.019,-1.0,0.0,2445,2445,Malus,18447.0,161200,18.253,12.772,10.708,11.396,12.3775,-1.0,414.64,289.97,243.03,258.66999999999996,281.0
VOLKSWAGEN,ARTEON,ARTEON,VGF,ARTEON SB 2.0 TDI (200ch) DSG7 4M bat mot ss+r 18'' Airstop DCC EU6AP FIA,GAZOLE,BREAK,1968,MOYENNE SUPERIEURE,11,147.0,-1.0,1658,0.09,AUTOMATIQUE,7,-1.0,-1.0,-1.0,-1.0,0.021,-1.0,0.038,0.049,0.0,1733,1733,Malus,1074.0,62440,8.0245,5.7015,4.8045,5.324,5.6,-1.0,210.26,149.375,125.855,137.975,146.72
PEUGEOT,RIFTER,RIFTER,AUTRES,RIFTER BlueHdi (130ch) BVM6,GAZOLE,COMBISPACE,1499,INFERIEURE,7,96.0,-1.0,1606,0.06,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.053,-1.0,0.049,0.053,0.0,1681,1681,Malus,540.0,31090,5.423500000000001,5.019500000000001,4.761,6.2255,5.4215,-1.0,142.24,131.64499999999998,124.85,163.275,142.185
OPEL,GRANDLAND,GRANDLAND,STELLANTIS,GRANDLAND (130ch),ESSENCE,TS TERRAINS/CHEMINS,1199,INFERIEURE,7,96.0,-1.0,1356,0.07,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.514,0.027,0.051,-1.0,0.0,1431,1431,Malus,310.0,35500,7.4135,6.221,5.672,7.029,6.4975000000000005,-1.0,167.71,140.625,128.145,158.975,146.89499999999998
PEUGEOT,EXPERT TRAVELLER,TRAVELLER,AUTRES,TRAVELLER 1.5 BlueHDi FAP S&S (100ch) BVM6,GAZOLE,MINIBUS,1499,MOYENNE INFERIEURE,6,88.0,-1.0,1640,0.05,MECANIQUE,6,-1.0,-1.0,-1.0,-1.0,0.072,-1.0,0.05,0.055,0.0,1715,1715,Malus,3119.0,32350,7.137499999999999,5.8545,5.6375,7.371,6.496,-1.0,186.99,153.36,147.66500000000002,193.12,170.185
