Marque;"Libellé modèle";Modèle;Groupe;"Description Commerciale";Energie;Carrosserie;Cylindrée;Gamme;"Puissance fiscale";"Puissance maximale";"Puissance nominale électrique";"Poids à vide";"Rapport poids-puissance";"Type de boite";"Nombre rapports";"Conso basse vitesse Min";"Conso basse vitesse Max";"Conso moyenne vitesse Min";"Conso moyenne vitesse Max";"Conso haute vitesse Min";"Conso haute vitesse Max";"Conso T-haute vitesse Min";"Conso T-haute vitesse Max";"Conso vitesse mixte Min";"Conso vitesse mixte Max";"Conso elec Min";"Conso elec Max";"Autonomie elec Min";"Autonomie elec Max";"Autonomie elec urbain Min";"Autonomie elec urbain Max";"CO2 basse vitesse Min";"CO2 basse vitesse Max";"CO2 moyenne vitesse Min";"CO2 moyenne vitesse Max";"CO2 haute vitesse Min";"CO2 haute vitesse Max";"CO2 T-haute vitesse Min";"CO2 T-haute vitesse Max";"CO2 vitesse mixte Min";"CO2 vitesse mixte Max";"Essai CO2 type 1";"Essai HC";"Essai Nox";"Essai HCNox";"Essai particules";"Masse OM Min";"Masse OM Max";Bonus-Malus;"Barème Bonus-Malus";"Prix véhicule"
OPEL;CORSA;CORSA;STELLANTIS;"CORSA-E (57Kw)";ELECTRIC;BERLINE;0;INFERIEURE;4;;57,000;1455;0,00;"VARIATION ELECTRIQUE";1;;;;;;;;;;;149,800;161,500;373,000;346,000;508,700;475,700;;;;;;;;;;;;;;;;1530;1530;"Bonus 6000";-6000;37600
KIA;RIO;RIO;HYUNDAI;"RIO 1.0 essence T-GDi (100ch) ISG BVM6";ESSENCE;BERLINE;998;"MOYENNE INFERIEURE";5;73,500;;1100;0,07;MECANIQUE;6;6,728;7,118;4,895;5,396;4,351;4,790;5,527;6,070;5,196;5,678;;;;;;;152,87;161,78;111,15;122,59;98,78;108,79;125,55;137,93;118,00;129,00;0,110;0,018;0,030;;0,000;1175;1175;Malus;100;19465
VOLKSWAGEN;CADDY;CADDY;VGF;"CADDY 5 Caddy/Life/Style 1.5 TSI (114ch) BVM6";ESSENCE;COMBISPACE;1498;INFERIEURE;6;84,000;;1467;0,06;MECANIQUE;6;7,781;8,644;5,925;7,075;5,213;6,346;6,263;7,936;6,073;7,365;;;;;;;176,66;196,08;134,45;160,41;118,24;143,83;142,13;179,99;137,80;167,00;0,245;0,029;0,031;;0,000;1542;1542;Malus;740;29190
MERCEDES;"CLASSE GLC";"GLC 300";AUTRES;"GLC 300 de 4MATIC";"ELEC+GAZOLE HR";"TS TERRAINS/CHEMINS";1950;SUPERIEURE;11;143,000;60,000;2060;0,07;AUTOMATIQUE;9;;;;;;;;;1,951;2,245;204,300;245,800;42,400;40,200;44,700;42,100;;;;;;;;;51,17;58,88;0,031;;0,040;0,040;0,001;2135;2135;"Neutre 0";3350;77775
DACIA;DUSTER;DUSTER;RENAULT;"DUSTER (101ch)";ESS+G.P.L.;"TS TERRAINS/CHEMINS";999;INFERIEURE;5;67,000;;1262;0,06;MECANIQUE;6;7,589;7,791;5,826;6,085;5,445;5,800;6,811;7,279;6,293;6,648;;;;;;;171,32;175,91;131,27;137,14;122,60;130,67;153,64;164,29;141,86;149,94;0,632;0,053;0,015;;;1337;1381;"Neutre 0";;18685
DACIA;DUSTER;DUSTER;RENAULT;"DUSTER (101ch)";ESS+G.P.L.;"TS TERRAINS/CHEMINS";999;INFERIEURE;5;74,000;;1262;0,06;MECANIQUE;6;9,434;9,511;7,026;7,370;6,632;7,005;8,352;8,948;7,696;8,102;;;;;;;148,20;152,14;113,50;119,80;107,48;113,73;135,63;145,42;124,12;131,32;0,388;0,018;0,026;;;1337;1381;"Neutre 0";;18685
SKODA;KAROQ;KAROQ;VGF;"Karoq 1.5 TSI (150ch) 4*2 BVM6 norme AP freins 15'' Normal. Ambition Classe A avec alt 140A famA";ESSENCE;"TS TERRAINS/CHEMINS";1498;"MOYENNE SUPERIEURE";8;110,000;;1321;0,08;MECANIQUE;6;7,635;8,002;5,624;6,209;4,814;5,586;5,644;6,701;5,649;6,430;;;;;;;173,63;181,90;127,83;141,05;109,37;126,87;128,28;152,27;128,40;146,10;0,192;0,027;0,022;;0,000;1396;1396;Malus;360;33965
SEAT;ATECA;ATECA;VGF;"ATECA TSI (110ch) BVM6";ESSENCE;"TS TERRAINS/CHEMINS";999;"MOYENNE SUPERIEURE";6;81,000;;1284;0,06;MECANIQUE;6;7,590;7,923;6,070;6,589;5,465;6,212;6,501;7,801;6,239;7,080;;;;;;;172,21;179,86;137,64;149,53;123,89;140,95;147,45;177,09;141,49;160,70;0,216;0,022;0,035;;0,000;1359;1359;Malus;650;30622
B.M.W.;M4;M4;AUTRES;"M4 Competition M xDrive Cabriolet";ESSENCE;CABRIOLET;2993;LUXE;41;375,000;;1920;0,20;AUTOMATIQUE;8;15,635;15,279;9,922;10,312;8,415;8,789;9,137;9,583;9,940;10,245;;;;;;;355,67;347,60;225,61;234,53;191,29;199,85;207,73;217,92;226,00;233,00;0,177;0,008;0,018;;0,000;1995;1995;Malus;40000;115550
SEAT;ATECA;ATECA;VGF;"ATECA TDI (150ch) DSG7";GAZOLE;"TS TERRAINS/CHEMINS";1968;"MOYENNE SUPERIEURE";8;110,000;;1456;0,08;AUTOMATIQUE;7;6,482;6,766;4,423;5,174;3,801;4,773;4,582;5,937;4,562;5,533;;;;;;;169,97;177,46;115,96;135,68;99,64;125,16;120,13;155,70;119,60;145,10;0,036;0,012;0,027;0,037;0,000;1531;1531;Malus;280;40423
B.M.W.;"SERIE 2";220;AUTRES;"220d Gran Coupé";GAZOLE;BERLINE;1995;"MOYENNE INFERIEURE";10;140,000;;1505;0,09;AUTOMATIQUE;8;6,445;6,674;4,924;5,451;4,254;5,115;4,607;5,776;4,808;5,626;;;;;;;168,75;174,71;128,85;142,61;111,27;133,81;120,55;151,15;125,80;147,20;0,190;;0,016;0,069;0,000;1580;1580;Malus;190;47413
B.M.W.;"SERIE 1";118;AUTRES;118d;GAZOLE;BERLINE;1995;"MOYENNE INFERIEURE";8;110,000;;1430;0,08;AUTOMATIQUE;8;6,002;6,782;4,605;5,461;4,208;4,989;4,537;5,803;4,644;5,613;;;;;;;157,12;177,58;120,47;142,92;110,05;130,54;118,68;151,88;121,50;146,90;0,171;;0,013;0,062;0,000;1505;1505;Malus;125;40410
PORSCHE;"MACAN GTS";MACAN;VGF;"MACAN GTS II";ESSENCE;"TS TERRAINS/CHEMINS";2894;SUPERIEURE;33;324,000;;1960;0,17;AUTOMATIQUE;7;15,100;15,800;10,400;11,300;9,700;10,100;11,100;11,700;11,100;11,700;;;;;;;343,00;359,00;236,00;256,00;220,00;230,00;252,00;266,00;251,00;265,00;0,380;0,014;0,015;;0,000;2035;2035;Malus;40000;93699
MERCEDES;"CLASSE T";"CLASSE T";AUTRES;"T 180d (116ch) Tourer";GAZOLE;COMBISPACE;1461;INFERIEURE;6;85,000;;1603;0,05;AUTOMATIQUE;7;6,200;6,570;5,320;5,910;4,680;5,580;6,020;7,640;5,490;6,510;;;;;;;162,29;172,04;139,31;154,79;122,42;146,19;157,72;200,23;143,70;170,55;0,149;0,054;0,030;0,084;0,000;1678;1678;Malus;898;35632
B.M.W.;"SERIE X";X2;AUTRES;"X2 sDrive18d";GAZOLE;"TS TERRAINS/CHEMINS";1995;"MOYENNE SUPERIEURE";8;110,000;;1510;0,07;MECANIQUE;6;5,892;6,512;4,665;5,236;4,423;5,049;4,927;5,956;4,847;5,604;;;;;;;154,23;170,44;122,03;136,95;115,69;132,05;128,91;155,84;126,80;146,60;0,192;;0,024;0,085;0,000;1585;1585;Malus;170;43167
SKODA;FABIA;FABIA;VGF;"NouvellFABIA 1.0 TSI (95ch) BVM5 Monte-Carlo";ESSENCE;BERLINE;999;"MOYENNE INFERIEURE";5;70,000;;1076;0,07;MECANIQUE;5;6,402;7,202;4,693;5,696;4,236;5,117;5,142;6,183;4,939;5,891;;;;;;;145,29;163,54;106,41;129,27;96,00;116,09;116,62;140,35;112,00;133,70;0,193;0,021;0,042;;0,000;1151;1151;"Neutre 0";;22347
B.M.W.;"SERIE 1";118;AUTRES;118d;GAZOLE;BERLINE;1995;"MOYENNE INFERIEURE";8;110,000;;1430;0,08;AUTOMATIQUE;8;6,002;6,782;4,605;5,461;4,208;4,989;4,537;5,803;4,644;5,613;;;;;;;157,12;177,58;120,47;142,92;110,05;130,54;118,68;151,88;121,50;146,90;0,171;;0,013;0,062;0,000;1505;1505;Malus;210;40410
RENAULT;KANGOO;KANGOO;RENAULT;"KANGOO (102ch)";ESSENCE;COMBISPACE;1332;INFERIEURE;5;75,000;;1475;0,05;MECANIQUE;6;8,153;8,575;6,343;7,116;5,803;6,710;7,071;8,709;6,675;7,750;;;;;;;184,63;194,16;143,56;161,04;131,29;151,84;160,07;197,20;151,10;175,44;0,280;0,011;0,012;;0,000;1550;1550;Malus;1504;25900
KIA;CEED;CEED;HYUNDAI;"CEED SW 1.6 essence GDi (105ch) ISG / Electrique (60.5ch) DCT6 Système hybride rechargeable (141ch)";"ELEC+ESSENC HR";BREAK;1580;"MOYENNE INFERIEURE";5;77,200;10,100;1533;0,05;AUTOMATIQUE;6;;;;;;;;;;1,256;;116,000;;50,000;;57,000;;;;;;;;;;28,62;0,053;0,017;0,010;;0,001;1608;1608;"Bonus 1000";;38722
NISSAN;QASHQAI;QASHQAI;NISSAN;"Mild Hybrid (158ch) Xtronic i-4x4 N-CONNECTA + Pack Hiver";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1332;"MOYENNE SUPERIEURE";8;116,000;0,000;1457;0,08;"VARIATION CONTINUE";1;8,385;9,648;6,561;6,950;5,795;6,272;7,164;7,663;6,781;7,353;;;;;;;189,30;217,95;148,00;156,87;130,66;141,53;161,65;173,02;153,00;166,00;0,312;0,015;0,024;;0,000;1532;1532;Malus;11930;42920
B.M.W.;"SERIE 4";420;AUTRES;"420i Gran Coupe";ESSENCE;BERLINE;1998;"MOYENNE SUPERIEURE";10;135,000;;1620;0,08;AUTOMATIQUE;8;9,556;9,999;6,655;7,346;5,638;6,535;6,193;7,342;6,564;7,448;;;;;;;217,23;227,18;151,18;166,78;128,01;148,32;140,66;166,70;149,10;169,10;0,255;0,022;0,014;;0,000;1695;1695;Malus;983;53833
SKODA;OCTAVIA;OCTAVIA;VGF;"OCTAVIA Combi 2.0 TDI (116ch) BVM6";GAZOLE;BREAK;1968;"MOYENNE SUPERIEURE";6;85,000;;1371;0,06;MECANIQUE;6;5,693;6,219;3,875;4,712;3,385;4,202;3,813;4,991;3,944;4,855;;;;;;;149,28;163,10;101,58;123,56;88,74;110,18;99,97;130,89;103,40;127,30;0,026;;0,043;0,052;0,000;1446;1446;"Neutre 0";;32695
B.M.W.;"SERIE 1";120;AUTRES;"120d xDrive";GAZOLE;BERLINE;1995;"MOYENNE INFERIEURE";10;140,000;;1515;0,09;AUTOMATIQUE;8;6,777;7,119;5,018;5,641;4,413;5,247;4,767;5,978;4,977;5,836;;;;;;;177,63;186,58;131,48;147,79;115,61;137,44;124,91;156,63;130,40;152,90;0,071;;0,021;0,058;0,000;1590;1590;Malus;260;46988
MERCEDES;"CLASSE C";"C 220";AUTRES;"C 220 d";"GAZ+ELEC HNR";BERLINE;1993;SUPERIEURE;11;147,000;10,000;1655;0,09;AUTOMATIQUE;9;5,920;6,423;4,459;5,081;3,773;4,282;4,289;5,019;4,382;4,992;;;;;;;155,39;168,60;117,03;133,34;99,01;112,37;112,56;131,71;115,00;131,00;0,063;;0,007;0,014;0,000;1730;1730;"Neutre 0";11900;58383
B.M.W.;"SERIE 5";520;AUTRES;"520d xDrive Touring";"GAZ+ELEC HNR";BREAK;1995;LUXE;10;140,000;0,000;1840;0,08;AUTOMATIQUE;8;6,615;7,355;5,537;6,316;4,657;5,352;5,068;6,214;5,243;6,121;;;;;;;173,15;192,54;144,90;165,31;121,84;140,04;132,62;162,63;137,20;160,20;0,100;;0,019;0,048;0,000;1915;1915;Malus;13066;62188
MINI;MINI;MINI;B.M.W.;"MINI John Cooper Works Hatch 3P (F56)";ESSENCE;BERLINE;1998;INFERIEURE;13;170,000;;1275;0,13;AUTOMATIQUE;8;9,293;9,684;6,409;6,979;5,535;6,106;6,444;7,170;6,536;7,138;;;;;;;211,58;220,48;145,81;158,77;125,87;138,87;146,60;163,13;148,70;162,40;0,227;0,016;0,010;;0,000;1350;1350;Malus;1386;40700
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1290;0,08;MECANIQUE;6;7,631;8,440;5,556;6,526;4,781;5,964;5,532;7,111;5,585;6,815;;;;;;;174,08;191,97;126,64;148,30;108,93;135,49;126,08;161,64;127,30;154,90;0,291;0,024;0,018;;0,001;1365;1365;Malus;190;35210
VOLKSWAGEN;CADDY;CADDY;VGF;"CADDY 5 Caddy/Life/Style 1.5 TSI (114ch) BVM6";ESSENCE;COMBISPACE;1498;INFERIEURE;6;84,000;;1467;0,06;MECANIQUE;6;7,781;8,644;5,925;7,075;5,213;6,346;6,263;7,936;6,073;7,365;;;;;;;176,66;196,08;134,45;160,41;118,24;143,83;142,13;179,99;137,80;167,00;0,245;0,029;0,031;;0,000;1542;1542;Malus;740;30620
B.M.W.;"SERIE 4";440;AUTRES;"M440d xDrive Cabriolet";"GAZ+ELEC HNR";CABRIOLET;2993;"MOYENNE SUPERIEURE";22;250,000;0,000;1980;0,13;AUTOMATIQUE;8;10,083;10,614;5,843;6,431;4,990;5,616;5,334;6,241;5,964;6,669;;;;;;;264,09;277,99;152,94;168,37;130,57;147,00;139,59;163,37;156,10;174,60;0,114;;0,033;0,047;0,001;2055;2055;Malus;14485;78250
B.M.W.;"SERIE X";X5;AUTRES;"X5 xDrive30d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";2993;LUXE;17;210,000;0,000;2190;0,10;AUTOMATIQUE;8;8,821;8,884;6,274;7,266;5,579;6,624;6,588;7,831;6,510;7,484;;;;;;;230,96;232,59;164,21;190,19;146,00;173,36;172,43;204,99;170,40;195,90;0,141;;0,045;0,063;0,001;2265;2265;Malus;16612;79017
B.M.W.;"SERIE X";X2;AUTRES;"X2 sDrive18i";ESSENCE;"TS TERRAINS/CHEMINS";1499;"MOYENNE SUPERIEURE";7;100,000;;1430;0,07;AUTOMATIQUE;7;8,594;9,260;6,196;6,984;5,272;6,241;6,189;7,565;6,228;7,265;;;;;;;195,58;210,61;140,87;158,71;119,79;141,77;140,71;171,96;141,60;165,10;0,312;0,031;0,016;;0,000;1505;1505;Malus;650;42517
