Marque;"Libellé modèle";Modèle;Groupe;"Description Commerciale";Energie;Carrosserie;Cylindrée;Gamme;"Puissance fiscale";"Puissance maximale";"Puissance nominale électrique";"Poids à vide";"Rapport poids-puissance";"Type de boite";"Nombre rapports";"Conso basse vitesse Min";"Conso basse vitesse Max";"Conso moyenne vitesse Min";"Conso moyenne vitesse Max";"Conso haute vitesse Min";"Conso haute vitesse Max";"Conso T-haute vitesse Min";"Conso T-haute vitesse Max";"Conso vitesse mixte Min";"Conso vitesse mixte Max";"Conso elec Min";"Conso elec Max";"Autonomie elec Min";"Autonomie elec Max";"Autonomie elec urbain Min";"Autonomie elec urbain Max";"CO2 basse vitesse Min";"CO2 basse vitesse Max";"CO2 moyenne vitesse Min";"CO2 moyenne vitesse Max";"CO2 haute vitesse Min";"CO2 haute vitesse Max";"CO2 T-haute vitesse Min";"CO2 T-haute vitesse Max";"CO2 vitesse mixte Min";"CO2 vitesse mixte Max";"Essai CO2 type 1";"Essai HC";"Essai Nox";"Essai HCNox";"Essai particules";"Masse OM Min";"Masse OM Max";Bonus-Malus;"Barème Bonus-Malus";"Prix véhicule"
CITROEN;C3;C3;STELLANTIS;"C3 PureTech (110ch) S&S BVM6";ESSENCE;BERLINE;1199;INFERIEURE;6;81,000;;1090;0,07;MECANIQUE;6;6,357;6,850;5,145;5,567;4,644;5,108;5,555;6,330;5,297;5,867;;;;;;;143,75;154,85;166,24;125,72;104,86;115,31;125,55;143,06;119,70;132,54;0,353;0,025;0,024;;0,000;1165;1165;"Neutre 0";;22600
KIA;PICANTO;PICANTO;HYUNDAI;"PICANTO 1.0 essence T-GDi (100ch) ISG BVM5";ESSENCE;BERLINE;998;INFERIEURE;5;73,600;;959;0,08;MECANIQUE;5;6,382;6,857;4,635;5,026;4,178;4,550;5,448;5,960;5,015;5,455;;;;;;;145,14;155,95;105,33;114,24;94,93;103,40;123,86;135,51;114,00;124,00;0,116;0,019;0,026;;;1034;1034;"Neutre 0";;18773
RENAULT;CAPTUR;CAPTUR;RENAULT;"CAPTUR (140ch+0Kw)";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1332;INFERIEURE;7;103,000;0,000;1326;0,08;AUTOMATIQUE;7;7,536;7,901;5,565;6,071;4,913;5,405;6,092;6,688;5,813;6,328;;;;;;;170,50;178,74;125,72;137,15;110,92;122,02;137,70;151,17;131,37;143,00;0,473;0,012;0,028;;0,000;1401;1401;Malus;11909;27325
MERCEDES;"CLASSE GLE";"GLE 53 AMG";AUTRES;"AMG GLE 53 4MATIC+ Coupe";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";2999;LUXE;32;320,000;10,400;2250;0,14;AUTOMATIQUE;9;15,052;14,939;10,514;11,126;8,824;9,738;10,144;11,495;10,466;11,337;;;;;;;342,44;340,09;239,09;253,20;200,60;221,55;230,66;261,61;238,00;258,00;0,215;0,018;0,020;;0,000;2325;2325;Malus;17247;114750
ALPINE;A110;A110;RENAULT;"A110 (300ch)";ESSENCE;COUPE;1798;LUXE;19;221,000;;1109;0,20;AUTOMATIQUE;7;10,248;10,503;6,348;6,535;5,720;5,998;6,579;6,913;6,755;7,032;;;;;;;232,57;238,28;143,96;148,13;129,69;135,92;149,20;156,70;153,21;159,40;0,204;0,011;0,012;;0,000;1184;1184;AUTRES;;76250
MERCEDES;"CLASSE GLS";"GLS 600";AUTRES;"GLS 600 4MATIC Maybach";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";3982;LUXE;47;410,000;10,400;2710;0,15;AUTOMATIQUE;9;20,064;20,019;13,186;13,637;11,081;11,723;11,823;12,549;12,969;13,510;;;;;;;456,60;455,24;299,93;309,88;251,99;266,28;268,89;285,10;295,00;307,00;0,421;0,021;0,021;;0,000;2785;2785;Malus;21847;181800
RENAULT;TRAFIC;TRAFIC;RENAULT;"TRAFIC (149ch)";GAZOLE;MINIBUS;1997;"MOYENNE SUPERIEURE";8;110,000;;1962;0,06;MECANIQUE;6;7,667;9,108;6,543;7,479;5,846;6,710;7,497;8,316;6,817;7,756;;;;;;;201,26;239,12;171,74;196,32;153,44;176,13;196,79;218,31;178,92;203,60;0,040;;0,038;0,045;0,000;2037;2037;Malus;12858;41350
VOLKSWAGEN;CADDY;CADDY;VGF;"CADDY 5 Caddy/Life/Style 2.0 TDI (122ch) DSG7";GAZOLE;COMBISPACE;1968;INFERIEURE;6;90,000;;1568;0,06;AUTOMATIQUE;7;6,541;7,104;4,749;5,409;4,182;4,966;4,977;6,111;4,894;5,747;;;;;;;171,53;186,30;124,51;141,83;109,63;130,20;130,48;160,25;128,30;150,70;0,023;;0,038;0,059;0,000;1643;1643;Malus;240;37343
B.M.W.;M3;M3;AUTRES;"M3 Competition M xDrive";ESSENCE;BERLINE;2993;SUPERIEURE;41;375,000;;1780;0,21;AUTOMATIQUE;8;15,635;15,279;9,922;10,312;8,415;8,789;9,137;9,583;9,940;10,245;;;;;;;355,67;347,60;225,61;234,53;191,29;199,85;207,73;217,92;226,00;233,00;0,177;0,008;0,018;;0,000;1855;1855;Malus;40000;102000
B.M.W.;"SERIE X";X3;AUTRES;"X3 xDrive18d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1995;SUPERIEURE;8;110,000;0,000;1810;0,06;AUTOMATIQUE;8;6,508;7,213;5,161;6,336;4,920;5,774;5,949;7,126;5,546;6,560;;;;;;;170,46;188,94;135,11;165,91;128,78;151,17;155,79;186,67;145,20;171,80;0,159;;0,023;0,061;0,000;1885;1885;Malus;12776;55100
OPEL;MOKKA;MOKKA;STELLANTIS;"MOKKA-E (57Kw)";ELECTRIC;"TS TERRAINS/CHEMINS";0;INFERIEURE;4;;57,000;1523;0,00;"VARIATION ELECTRIQUE";1;;;;;;;;;;;143,400;166,700;374,000;324,000;499,000;454,300;;;;;;;;;;;;;;;;1598;1598;"Bonus 6000";-6000;41467
SKODA;KODIAQ;KODIAQ;VGF;"Kodiaq Laurin&Klement 2.0 TDI (150ch) DSG7 4x2. 5PL. classe B";GAZOLE;"TS TERRAINS/CHEMINS";1968;SUPERIEURE;8;110,000;;1707;0,06;AUTOMATIQUE;7;6,952;7,280;4,928;5,409;4,210;4,806;4,932;5,736;4,977;5,588;;;;;;;182,15;190,74;129,10;141,70;110,28;125,91;129,21;150,27;130,40;146,40;0,026;;0,030;0,039;0,000;1782;1782;Malus;650;33820
KIA;STONIC;STONIC;HYUNDAI;"STONIC 1.0 essence T-GDi (120ch) MHEV iBVM6 Active";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";998;INFERIEURE;6;88,300;7,940;1150;0,08;MECANIQUE;6;6,761;7,000;4,841;5,201;4,266;4,678;5,349;6,182;5,099;5,627;;;;;;;153,85;159,26;110,11;118,28;97,01;106,39;121,68;140,63;116,00;128,00;0,079;0,016;0,025;;0,000;1225;1225;"Neutre 0";11900;25270
MINI;MINI;CLUBMAN;B.M.W.;"MINI Cooper S ALL4 Clubman (F54)";ESSENCE;BREAK;1998;INFERIEURE;9;131,000;;1500;0,09;AUTOMATIQUE;8;9,367;9,518;6,672;7,122;5,797;6,160;6,635;7,202;6,748;7,173;;;;;;;213,89;216,79;152,26;162,15;132,26;140,20;151,41;163,96;154,00;163,30;0,156;0,017;0,012;;0,000;1575;1575;Malus;1386;42029
RENAULT;MEGANE;MEGANE;RENAULT;"MEGANE Berline (140ch)";ESSENCE;BERLINE;1332;"MOYENNE INFERIEURE";7;103,000;;1214;0,08;MECANIQUE;6;7,182;7,846;5,547;6,140;4,879;5,375;5,943;6,420;5,699;6,231;;;;;;;162,64;177,64;125,54;138,94;110,40;121,59;134,53;145,29;129,00;141,00;0,183;0,013;0,010;;0,000;1289;1289;Malus;190;29775
RENAULT;"MEGANE E-TECH PLUG-IN HYBRID";MEGANE;RENAULT;"MEGANE Estate (91ch+31Kw)";"ELEC+ESSENC HR";BREAK;1598;"MOYENNE INFERIEURE";5;67,000;31,000;1598;0,04;AUTOMATIQUE;6;;;;;;;;;1,196;1,553;164,000;188,000;52,000;46,000;63,000;58,000;;;;;;;;;28,36;36,45;0,397;0,019;0,003;;;1673;1673;"Bonus 1000";;40725
MERCEDES;"CLASSE V";"V 250";AUTRES;"V 250 d (190ch) 4MATIC BlueEFFICIENCY extra-long";GAZOLE;MONOSPACE;1950;SUPERIEURE;10;140,000;;2170;0,06;AUTOMATIQUE;9;8,888;11,699;7,144;9,165;6,250;7,953;7,550;9,428;7,245;9,222;;;;;;;233,19;307,09;187,35;240,49;163,85;208,64;198,02;247,41;190,00;242,00;0,211;;0,027;0,045;0,001;2245;2245;Malus;40000;74793
B.M.W.;"SERIE X";X5;AUTRES;"X5 xDrive30d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";2993;LUXE;17;210,000;0,000;2190;0,10;AUTOMATIQUE;8;8,821;8,884;6,274;7,266;5,579;6,624;6,588;7,831;6,510;7,484;;;;;;;230,96;232,59;164,21;190,19;146,00;173,36;172,43;204,99;170,40;195,90;0,141;;0,045;0,063;0,001;2265;2265;Malus;16603;77717
RENAULT;KANGOO;KANGOO;RENAULT;"KANGOO (115ch)";GAZOLE;COMBISPACE;1461;INFERIEURE;6;85,000;;1594;0,05;AUTOMATIQUE;7;6,200;6,570;5,320;5,910;4,680;5,580;6,020;7,640;5,490;6,510;;;;;;;162,29;172,04;139,31;154,79;122,42;146,19;157,72;200,23;143,70;170,55;0,149;0,054;0,030;0,084;0,000;1669;1669;Malus;898;31900
DACIA;SANDERO;SANDERO;RENAULT;"SANDERO (67ch)";ESSENCE;BERLINE;999;INFERIEURE;4;49,000;;1015;0,05;MECANIQUE;5;6,081;6,401;4,702;4,885;4,489;4,745;5,722;6,149;5,182;5,492;;;;;;;137,39;144,62;106,12;110,23;101,28;107,06;129,25;138,89;117,00;124,00;0,308;0,031;0,027;;;1090;1133;"Neutre 0";;10990
RENAULT;MEGANE;MEGANE;RENAULT;"MEGANE Berline (115ch)";GAZOLE;BERLINE;1461;"MOYENNE INFERIEURE";6;85,000;;1347;0,06;AUTOMATIQUE;7;5,813;6,039;4,473;4,945;4,005;4,449;4,718;5,156;4,594;5,013;;;;;;;152,17;158,11;117,00;129,40;104,71;116,37;123,42;134,93;120,17;131,17;0,151;;0,026;0,072;0,000;1422;1422;"Neutre 0";;33775
DS;"DS 7 CROSSBACK";"7 CROSSBACK";STELLANTIS;"DS7 CROSSBACK BlueHDi (130ch) BVA8";GAZOLE;"TS TERRAINS/CHEMINS";1499;"MOYENNE SUPERIEURE";7;96,000;;1510;0,06;AUTOMATIQUE;8;6,239;6,815;5,131;5,886;4,562;5,382;5,663;6,665;5,292;6,131;;;;;;;163,64;178,76;134,57;154,38;119,62;141,15;148,52;174,82;138,78;160,80;0,047;;0,056;0,061;0,000;1585;1585;Malus;450;44700
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1320;0,08;AUTOMATIQUE;7;8,092;8,676;5,516;6,400;4,693;5,896;5,435;7,138;5,577;6,809;;;;;;;184,61;197,89;125,72;145,84;106,89;134,31;123,87;162,71;127,10;155,20;0,273;0,023;0,015;;0,000;1395;1395;Malus;260;37510
B.M.W.;"SERIE 1";118;AUTRES;118d;GAZOLE;BERLINE;1995;"MOYENNE INFERIEURE";8;110,000;;1405;0,08;MECANIQUE;6;5,700;6,217;4,244;5,091;3,987;4,860;4,449;5,720;4,431;5,393;;;;;;;149,19;162,74;110,99;133,18;104,25;127,12;116,36;149,68;115,90;141,10;0,185;;0,023;0,075;0,000;1480;1480;Malus;210;38110
SKODA;KAMIQ;KAMIQ;VGF;"Kamiq Style 1.0 TSI (110ch) DSG7. châssis classique. classe A";ESSENCE;"TS TERRAINS/CHEMINS";999;"MOYENNE INFERIEURE";6;81,000;;1197;0,07;AUTOMATIQUE;7;6,966;7,767;5,489;6,450;4,795;5,939;5,474;7,187;5,466;6,729;;;;;;;158,22;176,41;124,62;146,45;108,82;134,81;124,27;163,22;124,10;152,80;0,153;0,023;0,043;;0,000;1272;1272;Malus;170;29620
VOLKSWAGEN;CADDY;CADDY;VGF;"CADDY 5 Caddy/Life/Style 2.0 TDI (122ch) BVM6 4MOTION 5PL";GAZOLE;COMBISPACE;1968;INFERIEURE;6;90,000;;1637;0,05;MECANIQUE;6;6,109;6,865;4,866;5,672;4,419;5,297;5,348;6,692;5,065;6,077;;;;;;;160,18;180,07;127,57;148,76;115,86;138,93;140,24;175,54;132,80;159,40;0,024;;0,051;0,063;0,000;1712;1712;Malus;400;40123
SKODA;KAMIQ;KAMIQ;VGF;"Kamiq Ambition 1.5 TSI (150ch) DSG7. châssis classique. classe A";ESSENCE;"TS TERRAINS/CHEMINS";1498;"MOYENNE INFERIEURE";8;110,000;;1214;0,09;AUTOMATIQUE;7;7,367;8,294;5,436;6,021;4,662;5,266;5,138;6,220;5,449;6,162;;;;;;;173,50;188,43;123,41;136,71;105,80;119,52;120,73;141,23;123,70;139,90;0,144;0,022;0,022;;0,000;1289;1289;Malus;230;31270
FIAT;TIPO;TIPO;STELLANTIS;"TIPO SW 1.0 Firefly (100ch)";ESSENCE;BREAK;999;"MOYENNE INFERIEURE";5;73,300;;1290;0,06;MECANIQUE;5;7,150;7,438;5,257;5,877;4,634;5,213;5,567;6,299;5,427;6,030;;;;;;;162,04;168,68;118,80;133,01;104,58;117,86;125,89;142,65;122,69;136,51;0,749;0,040;0,019;;0,000;1365;1365;Malus;100;26890
PEUGEOT;"EXPERT TRAVELLER";TRAVELLER;AUTRES;"TRAVELLER 1.5 BlueHDi FAP S&S (100ch) BVM6";GAZOLE;MINIBUS;1499;"MOYENNE INFERIEURE";6;88,000;;1659;0,05;MECANIQUE;6;6,635;7,640;5,429;6,280;5,277;5,998;6,944;7,798;6,080;6,912;;;;;;;173,81;200,17;142,20;164,52;138,21;157,12;181,93;204,31;159,27;181,10;0,072;;0,050;0,055;0,000;1734;1734;Malus;3784;33350
VOLKSWAGEN;POLO;POLO;VGF;"POLO 1.0 TSI (95ch) DSG7 ess3 ss+r 15/16'' DCC EU6AP FIA gnI";ESSENCE;BERLINE;999;INFERIEURE;5;70,000;;1124;0,06;AUTOMATIQUE;7;7,293;7,221;5,159;5,677;4,492;5,119;5,133;6,008;5,228;5,828;;;;;;;165,84;164,15;117,23;128,98;102,04;116,28;116,64;136,52;118,81;132,42;0,174;0,021;0,038;;0,000;1199;1199;Malus;50;25223
MERCEDES;"CLASSE V";"V 220";AUTRES;"V 220 d (163ch) BlueEFFICIENCY extra-long";GAZOLE;MONOSPACE;1950;SUPERIEURE;9;120,000;;2092;0,06;AUTOMATIQUE;9;8,361;10,666;6,432;8,506;5,633;7,489;6,755;8,672;6,557;8,539;;;;;;;219,33;279,80;168,72;223,14;147,75;196,45;177,19;227,48;172,00;224,00;0,019;;0,019;0,026;0,000;2167;2167;Malus;21160;67675
AUDI;"Q3 SPORTBACK E-TRON";Q3;VGF;"Q3 Sportback 45 TFSI e (245ch) quattro S tronic 6";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";1395;"MOYENNE SUPERIEURE";8;110,000;55,000;1740;0,06;AUTOMATIQUE;6;;;;;;;;;1,523;1,805;153,800;167,700;50,100;45,700;56,200;54,400;;;;;;;;;34,52;40,94;0,123;0,014;0,010;;0,000;1815;1815;"Neutre 0";;53195
FORD;"TRANSIT CUSTOM";"TRANSIT CUSTOM";FORD;"TRANSIT CUSTOM 2.0 Ecoblue (170ch) BVA6";GAZOLE;MINIBUS;1995;"MOYENNE INFERIEURE";9;125,000;;2093;0,06;AUTOMATIQUE;6;9,504;11,088;7,384;8,641;6,672;7,772;8,621;9,561;7,886;9,025;;;;;;;249,37;290,99;193,74;226,75;175,04;203,93;226,20;250,91;206,90;236,84;0,044;0,006;0,020;0,026;0,001;2168;2519;Malus;40000;51330
VOLKSWAGEN;CADDY;CADDY;VGF;"CADDY 5 Caddy/Life/Style 2.0 TDI (122ch) BVM6 7PL";GAZOLE;COMBISPACE;1968;INFERIEURE;6;90,000;;1620;0,06;MECANIQUE;6;5,910;6,263;4,411;5,187;3,930;4,705;4,868;5,970;4,624;5,460;;;;;;;154,80;164,05;115,50;135,86;102,90;123,23;127,48;156,38;121,10;143,00;0,025;;0,047;0,066;0,000;1695;1695;Malus;190;36530
KIA;CEED;CEED;HYUNDAI;"CEED SW 1.5 essence T-GDi (160ch) ISG BVM6";ESSENCE;BREAK;1482;"MOYENNE INFERIEURE";8;117,500;;1302;0,09;MECANIQUE;6;6,768;7,469;5,390;6,183;4,773;5,536;5,753;6,456;5,512;6,252;;;;;;;153,36;169,40;122,02;140,13;107,98;125,41;130,28;146,35;124,80;141,70;0,354;0,027;0,025;;0,000;1377;1377;Malus;210;30539
KIA;CEED;CEED;HYUNDAI;"CEED 1.5 essence T-GDi (160ch) ISG BVM6";ESSENCE;BERLINE;1482;"MOYENNE INFERIEURE";8;117,500;;1255;0,09;MECANIQUE;6;6,768;7,469;5,390;6,183;4,773;5,536;5,753;6,456;5,512;6,252;;;;;;;153,36;169,40;122,02;140,13;107,98;125,41;130,28;146,35;124,80;141,70;0,354;0,027;0,025;;0,000;1330;1330;Malus;125;28522
TOYOTA;C-HR;C-HR;TOYOTA;"Toyota C-HR 1.8L Hybride (122ch) Dynamic. Dynamic Business MC19";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1798;"MOYENNE SUPERIEURE";5;72,000;37,000;1420;0,05;"VARIATION CONTINUE";0;4,175;4,604;3,916;4,410;4,337;4,732;6,074;6,592;4,846;5,309;;;;;;;94,19;103,93;88,33;99,55;97,87;106,82;137,16;148,91;109,37;119,88;0,131;0,016;0,002;;;1495;1495;"Neutre 0";11900;34314
FIAT;500X;500X;STELLANTIS;"500X 1.0 FireFly (120ch)";ESSENCE;"TS TERRAINS/CHEMINS";999;INFERIEURE;6;88,000;;1320;0,07;MECANIQUE;6;7,894;8,374;5,917;6,610;5,387;5,977;6,485;7,192;6,218;6,856;;;;;;;179,57;190,68;134,41;150,37;122,32;135,92;147,39;163,67;141,30;156,00;0,423;0,023;0,016;;0,000;1395;1395;Malus;1386;24990
B.M.W.;"SERIE 3";330;AUTRES;"330d xDrive Touring";"GAZ+ELEC HNR";BREAK;2993;SUPERIEURE;17;210,000;0,000;1825;0,12;AUTOMATIQUE;8;8,086;8,665;5,497;6,167;4,799;5,561;5,412;6,399;5,596;6,395;;;;;;;212,07;227,28;144,10;161,72;125,75;145,80;141,87;167,81;146,70;167,70;0,121;;0,042;0,055;0,001;1900;1900;Malus;12924;62725
B.M.W.;"SERIE 1";120;AUTRES;"120d xDrive";GAZOLE;BERLINE;1995;"MOYENNE INFERIEURE";10;140,000;;1515;0,09;AUTOMATIQUE;8;6,777;7,119;5,018;5,641;4,413;5,247;4,767;5,978;4,977;5,836;;;;;;;177,63;186,58;131,48;147,79;115,61;137,44;124,91;156,63;130,40;152,90;0,071;;0,021;0,058;0,000;1590;1590;Malus;740;46988
MINI;MINI;CLUBMAN;B.M.W.;"MINI One Clubman (F54)";ESSENCE;BREAK;1499;INFERIEURE;5;75,000;;1360;0,06;AUTOMATIQUE;7;8,047;8,358;5,806;6,350;5,142;5,657;6,202;6,806;6,040;6,565;;;;;;;183,38;190,49;132,25;144,68;117,10;128,88;141,30;155,08;137,60;149,60;0,089;0,014;0,009;;0,000;1435;1435;Malus;310;32475
MERCEDES;"CLASSE GLE";"GLE 350";AUTRES;"GLE 350 de 4MATIC";"ELEC+GAZOLE HR";"TS TERRAINS/CHEMINS";1950;LUXE;11;143,000;70,000;2580;0,06;AUTOMATIQUE;9;;;;;;;;;0,661;0,829;235,530;253,630;100,500;89,500;106,700;97,700;;;;;;;;;17,34;21,57;0,031;;0,038;0,043;0,001;2655;2655;"Neutre 0";;88400
VOLKSWAGEN;GOLF;GOLF;VGF;"GOLF 2.0 TDI (115ch) BVM6 ess ar Spl ss+r 16'' EU6AP FIA gnI";GAZOLE;BERLINE;1968;"MOYENNE INFERIEURE";6;85,000;;1303;0,07;MECANIQUE;6;5,849;6,293;3,899;4,855;3,307;4,407;3,793;5,346;3,939;5,082;;;;;;;153,31;164,95;102,15;127,24;86,64;115,48;99,39;140,11;103,20;133,20;0,030;;0,041;0,050;0,000;1378;1378;"Neutre 0";;32357
FIAT;500X;500X;STELLANTIS;"500X 1.0 FireFly (120ch)";ESSENCE;"TS TERRAINS/CHEMINS";999;INFERIEURE;6;88,000;;1320;0,07;MECANIQUE;6;7,894;8,374;5,917;6,610;5,387;5,977;6,485;7,192;6,218;6,856;;;;;;;179,57;190,68;134,41;150,37;122,32;135,92;147,39;163,67;141,30;156,00;0,423;0,023;0,016;;0,000;1395;1395;Malus;540;24990
B.M.W.;"SERIE X";X6;AUTRES;"X6 xDrive30d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";2993;LUXE;17;210,000;0,000;2185;0,10;AUTOMATIQUE;8;8,821;8,884;6,274;7,266;5,579;6,624;6,588;7,831;6,510;7,484;;;;;;;230,96;232,59;164,21;190,19;146,00;173,36;172,43;204,99;170,40;195,90;0,141;;0,045;0,063;0,001;2260;2260;Malus;16559;84025
MERCEDES;"CLASSE GLC";"GLC 220";AUTRES;"GLC 220 d 4MATIC";GAZOLE;"TS TERRAINS/CHEMINS";1950;SUPERIEURE;11;143,000;;1770;0,08;AUTOMATIQUE;9;7,373;8,611;5,839;6,947;5,153;6,187;6,349;7,457;6,013;7,115;;;;;;;193,76;226,32;153,42;182,58;135,40;162,59;166,83;195,97;158,00;187,00;0,036;;0,034;0,042;0,001;1845;1845;Malus;5854;69575
MERCEDES;"CLASSE GLE";"GLE 350";AUTRES;"GLE 350 e 4MATIC Coupe";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";1991;LUXE;12;155,000;70,000;2550;0,06;AUTOMATIQUE;9;;;;;;;;;1,155;1,330;255,090;271,640;87,400;81,900;93,700;88,800;;;;;;;;;26,16;30,10;0,382;0,025;0,015;;0,000;2625;2625;"Neutre 0";;106050
VOLKSWAGEN;TIGUAN;TIGUAN;VGF;"TIGUAN 1.5 TSI (130ch) BVM6 ess2 ss+r opt PAC 17'' rlt fbl résist EU6AP FIA gnI";ESSENCE;"TS TERRAINS/CHEMINS";1498;"MOYENNE SUPERIEURE";7;96,000;;1429;0,07;MECANIQUE;6;7,520;8,312;5,961;6,878;5,246;6,213;6,180;7,471;6,026;7,074;;;;;;;170,84;188,89;135,32;156,22;119,03;141,07;140,31;169,74;136,80;160,70;0,233;0,033;0,025;;0,000;1504;1504;Malus;540;39135
PORSCHE;"911 TURBO S";911;VGF;"911 TURBO S COUPE";ESSENCE;COUPE;3745;LUXE;61;478,000;;1640;0,29;AUTOMATIQUE;8;20,390;21,241;11,431;12,537;9,621;10,921;10,014;10,656;11,563;12,530;;;;;;;462,39;481,75;259,00;284,15;217,93;247,48;226,84;241,47;262,00;284,00;0,199;0,055;0,011;;0,000;1715;1715;Malus;40000;234312
B.M.W.;"SERIE 2";220;AUTRES;"220d Gran Coupé";GAZOLE;BERLINE;1995;"MOYENNE INFERIEURE";10;140,000;;1505;0,09;AUTOMATIQUE;8;6,445;6,674;4,924;5,451;4,254;5,115;4,607;5,776;4,808;5,626;;;;;;;168,75;174,71;128,85;142,61;111,27;133,81;120,55;151,15;125,80;147,20;0,190;;0,016;0,069;0,000;1580;1580;Malus;230;47413
CITROEN;"C4 X";"C4 X";STELLANTIS;"C4 X 1.2 PureTech S&S (155ch) BVA8";ESSENCE;BERLINE;1199;"MOYENNE INFERIEURE";7;96,000;;1289;0,07;AUTOMATIQUE;8;7,420;7,674;5,626;6,299;4,638;5,385;5,672;6,540;5,577;6,286;;;;;;;167,81;173,51;127,11;142,31;104,71;121,59;128,15;147,78;126,00;142,02;0,317;0,022;0,037;;0,000;1364;1364;Malus;100;24000
RENAULT;KANGOO;KANGOO;RENAULT;"KANGOO (102ch)";ESSENCE;COMBISPACE;1332;INFERIEURE;5;75,000;;1475;0,05;MECANIQUE;6;8,153;8,575;6,343;7,116;5,803;6,710;7,071;8,709;6,675;7,750;;;;;;;184,63;194,16;143,56;161,04;131,29;151,84;160,07;197,20;151,10;175,44;0,280;0,011;0,012;;0,000;1550;1550;Malus;1629;25900
VOLKSWAGEN;TIGUAN;TIGUAN;VGF;"TIGUAN 2.0 TDI (150ch) DSG7 ess1 ss+r opt PAC 17/18'' rlt fbl résist EU6AP FIA LED gnI";GAZOLE;"TS TERRAINS/CHEMINS";1968;"MOYENNE SUPERIEURE";8;110,000;;1556;0,07;AUTOMATIQUE;7;7,218;7,644;5,117;5,680;4,371;5,047;5,121;6,023;5,168;5,868;;;;;;;189,13;200,29;134,06;148,79;114,51;132,21;134,16;157,79;135,40;153,73;0,026;;0,030;0,039;0,000;1631;1631;Malus;360;48739
SKODA;SCALA;SCALA;VGF;"Scala Style 1.5 TSI (150ch) BVM6 famille A";ESSENCE;BERLINE;1498;"MOYENNE INFERIEURE";8;110,000;;1192;0,09;MECANIQUE;6;7,077;7,532;5,235;5,683;4,405;5,064;5,119;6,066;5,183;5,874;;;;;;;160,68;171,02;118,77;128,95;99,90;114,86;116,14;137,66;117,60;133,30;0,183;0,024;0,015;;0,000;1267;1267;Malus;50;28923
FORD;PUMA;PUMA;FORD;"PUMA 1.0 EcoBoost Hybrid (125ch) S&S DCT-7 (mHEV) Powershift";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";999;INFERIEURE;6;91,900;7,300;1259;0,07;AUTOMATIQUE;7;6,871;7,525;5,195;5,697;4,778;5,444;6,075;7,038;5,602;6,338;;;;;;;155,47;170,22;117,45;128,76;107,98;123,03;137,40;159,18;126,67;143,30;0,243;0,038;0,017;;0,001;1334;1455;Malus;11902;30570
B.M.W.;"SERIE 1";116;AUTRES;116i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";6;80,000;;1340;0,06;AUTOMATIQUE;7;7,931;8,435;5,596;6,443;4,900;6,012;5,768;7,320;5,753;6,886;;;;;;;181,21;192,71;127,81;147,16;111,88;137,32;131,73;167,21;131,40;157,30;0,072;0,014;0,008;;0,000;1415;1415;Malus;170;36260
B.M.W.;"SERIE X";X1;AUTRES;"X1 sDrive18i";ESSENCE;"TS TERRAINS/CHEMINS";1499;"MOYENNE SUPERIEURE";7;100,000;;1500;0,07;AUTOMATIQUE;7;8,645;9,683;6,275;7,151;5,381;6,237;6,181;7,287;6,281;7,255;;;;;;;195,21;218,68;141,65;161,44;121,44;140,81;139,52;164,54;141,80;163,80;0,075;0,009;0,008;;0,000;1575;1575;Malus;818;42463
VOLKSWAGEN;POLO;POLO;VGF;"POLO 1.0 TSI (95ch) BVM5 ess2 ss+r opt PAC 17'' DCC EU6AP FIA gnI";ESSENCE;BERLINE;999;INFERIEURE;5;70,000;;1093;0,06;MECANIQUE;5;6,430;7,304;4,773;5,717;4,211;5,309;5,014;6,619;4,906;6,123;;;;;;;146,11;165,92;108,36;129,79;95,56;120,48;113,86;150,34;111,39;139,02;0,226;0,032;0,041;;0,001;1168;1168;"Neutre 0";;23613
PORSCHE;"911 TURBO S";911;VGF;"911 TURBO S COUPE";ESSENCE;COUPE;3745;LUXE;61;478,000;;1640;0,29;AUTOMATIQUE;8;20,390;21,241;11,431;12,537;9,621;10,921;10,014;10,656;11,563;12,530;;;;;;;462,39;481,75;259,00;284,15;217,93;247,48;226,84;241,47;262,00;284,00;0,199;0,055;0,011;;0,000;1715;1715;Malus;40000;234312
